Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides puf3a	Peptides puf3b	Peptides puf3c	Peptides puf3d	Peptides puf3e	Peptides wta	Peptides wtb	Peptides wtc	Peptides wtd	Peptides wte	Razor + unique peptides puf3a	Razor + unique peptides puf3b	Razor + unique peptides puf3c	Razor + unique peptides puf3d	Razor + unique peptides puf3e	Razor + unique peptides wta	Razor + unique peptides wtb	Razor + unique peptides wtc	Razor + unique peptides wtd	Razor + unique peptides wte	Unique peptides puf3a	Unique peptides puf3b	Unique peptides puf3c	Unique peptides puf3d	Unique peptides puf3e	Unique peptides wta	Unique peptides wtb	Unique peptides wtc	Unique peptides wtd	Unique peptides wte	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Fraction 9	Fraction 10	Experiment puf3a	Experiment puf3b	Experiment puf3c	Experiment puf3d	Experiment puf3e	Experiment wta	Experiment wtb	Experiment wtc	Experiment wtd	Experiment wte	PEP	Sequence coverage puf3a [%]	Sequence coverage puf3b [%]	Sequence coverage puf3c [%]	Sequence coverage puf3d [%]	Sequence coverage puf3e [%]	Sequence coverage wta [%]	Sequence coverage wtb [%]	Sequence coverage wtc [%]	Sequence coverage wtd [%]	Sequence coverage wte [%]	Intensity	Intensity puf3a	Intensity puf3b	Intensity puf3c	Intensity puf3d	Intensity puf3e	Intensity wta	Intensity wtb	Intensity wtc	Intensity wtd	Intensity wte	LFQ intensity puf3a	LFQ intensity puf3b	LFQ intensity puf3c	LFQ intensity puf3d	LFQ intensity puf3e	LFQ intensity wta	LFQ intensity wtb	LFQ intensity wtc	LFQ intensity wtd	LFQ intensity wte	MS/MS Count puf3a	MS/MS Count puf3b	MS/MS Count puf3c	MS/MS Count puf3d	MS/MS Count puf3e	MS/MS Count wta	MS/MS Count wtb	MS/MS Count wtc	MS/MS Count wtd	MS/MS Count wte	Only identified by site	Reverse	Contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
YDL208W	YDL208W	1	1	1	>YDL208W NHP2 SGDID:S000002367, Chr IV from 87512-87982, Genome Release 64-1-1, Verified ORF, Nuclear protein related to mammalian high mobility group (HMG) proteins, essential for function of H/ACA-type snoRNPs, which are involved in 18S rRNA processing	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	9	9	9	17.122	156	156	10										1										1	0.00055908	0	0	0	0	0	0	0	0	0	9	4149900	0	0	0	0	0	0	0	0	0	4149900	0	0	0	0	0	0	0	0	0	4685700	0	0	0	0	0	0	0	0	0	1				334	9142	True	9275	55620	62971	62971		
YDL213C	YDL213C	2	2	2	>YDL213C NOP6 SGDID:S000002372, Chr IV from 77966-77289, Genome Release 64-1-1, reverse complement, Verified ORF, rRNA-binding protein required for 40S ribosomal subunit biogenesis; contains an RNA recognition motif (RRM) and has similarity to hydrophilin	1	2	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	16	16	16	25.216	225	225	5.55	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	3.4575E-31	10.7	10.7	10.7	10.7	10.7	16	10.7	5.3	10.7	5.3	20534000	1920000	1509400	2349700	1560100	2863100	2117100	1472800	1667400	865180	4209200	0	0	0	0	0	2816700	0	0	0	0	1	1	1	1	1	2	1	1	1	1				335	1429;11178	True;True	1450;11346	9272;9273;9274;68152;68153;68154;68155;68156;68157;68158;68159	10518;10519;10520;77616;77617;77618;77619;77620;77621;77622;77623	10520;77622		
YDL219W	YDL219W	1	1	1	>YDL219W DTD1 SGDID:S000002378, Chr IV from 65242-65306,65378-65765, Genome Release 64-1-1, Verified ORF, D-Tyr-tRNA(Tyr) deacylase, functions in protein translation, may affect nonsense suppression via alteration of the protein synthesis machinery; ubiqu	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	7.3	7.3	7.3	16.745	150	150	5.56	1	1	1	1		1	1	1	1	1	1	1	1	1		1	1	1	1	1	5.9277E-07	7.3	7.3	7.3	7.3	0	7.3	7.3	7.3	7.3	7.3	20450000	2619100	1185400	6820100	1585900	0	1205800	1420100	2636400	1386800	1590300	0	0	0	0	0	0	0	0	0	1795600	1	1	1	1	0	1	1	1	1	1				336	12178	True	12364	75031;75032;75033;75034;75035;75036;75037;75038;75039	85520;85521;85522;85523;85524;85525;85526;85527;85528	85527		
YDL224C	YDL224C	1	1	1	>YDL224C WHI4 SGDID:S000002383, Chr IV from 56346-54397, Genome Release 64-1-1, reverse complement, Verified ORF, Putative RNA binding protein and partially redundant Whi3p homolog that regulates the cell size requirement for passage through Start and com	1	1	1	1	0	0	0	1	0	1	1	1	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	1	0	1	1	1	1	0	2	2	2	70.689	649	649	6.8				1		1	1	1	1					1		1	1	1	1		4.311E-22	0	0	0	2	0	2	2	2	2	0	3821300	0	0	0	613100	0	702520	703770	885340	916540	0	0	0	0	0	0	0	0	0	1314200	0	0	0	0	1	0	1	1	1	1	0				337	9856	True	9999	59666;59667;59668;59669;59670	67447;67448;67449;67450;67451	67447		
YDL225W	YDL225W	7	7	7	>YDL225W SHS1 SGDID:S000002384, Chr IV from 52445-54100, Genome Release 64-1-1, Verified ORF, One of five related septins (Cdc3p, Cdc10p, Cdc11p, Cdc12p, Shs1p) that form a cortical filamentous collar at the mother-bud neck which is necessary for normal m	1	7	7	7	4	2	2	2	3	2	3	7	4	4	4	2	2	2	3	2	3	7	4	4	4	2	2	2	3	2	3	7	4	4	14.3	14.3	14.3	62.629	551	551	6.12	4	2	2	2	3	2	3	7	4	4	4	2	2	2	3	2	3	7	4	4	5.1007E-36	9.3	4.9	5.1	3.3	7.3	5.1	7.3	14.3	9.1	7.1	139800000	18492000	14119000	5317800	15849000	9774800	3798600	4891700	31598000	8608200	27346000	14635000	11881000	22510000	12501000	15642000	11265000	12948000	20346000	15028000	16403000	4	2	2	2	3	2	3	7	4	4				338	1747;3106;7313;8119;9881;10462;12867	True;True;True;True;True;True;True	1772;3146;7399;8241;10026;10613;13063	10941;10942;10943;10944;10945;10946;18727;18728;18729;45314;45315;45316;45317;45318;45319;45320;45321;50021;50022;59848;59849;59850;59851;59852;59853;63329;63330;63331;63332;63333;79465;79466;79467	12338;12339;12340;12341;12342;12343;21144;21145;21146;51524;51525;51526;51527;51528;51529;51530;51531;56800;56801;67659;67660;67661;67662;67663;67664;71689;71690;71691;71692;71693;90571;90572;90573	12339;21145;51530;56801;67660;71689;90571		
YDL226C	YDL226C	11	11	11	>YDL226C GCS1 SGDID:S000002385, Chr IV from 52173-51115, Genome Release 64-1-1, reverse complement, Verified ORF, ADP-ribosylation factor GTPase activating protein (ARF GAP), involved in ER-Golgi transport; shares functional similarity with Glo3p	1	11	11	11	5	5	5	5	8	7	7	8	7	5	5	5	5	5	8	7	7	8	7	5	5	5	5	5	8	7	7	8	7	5	46.9	46.9	46.9	39.296	352	352	5.79	5	5	5	5	9	9	8	8	7	5	5	5	5	5	9	9	8	8	7	5	1.1232E-116	24.4	23.3	23.3	23.6	36.4	33	31	36.1	33	25.6	305340000	17288000	34346000	20611000	27406000	52979000	35406000	32652000	37594000	30981000	16079000	34529000	33126000	26317000	38576000	32996000	32724000	37899000	33271000	36178000	27927000	5	5	5	5	9	9	9	8	7	5				339	2152;3618;4109;7198;7995;8364;9218;9269;9581;9683;12889	True;True;True;True;True;True;True;True;True;True;True	2183;3660;4156;7283;8114;8491;9351;9402;9720;9823;13086	13187;21780;21781;21782;21783;21784;21785;21786;21787;21788;24806;44662;44663;44664;44665;44666;44667;44668;44669;44670;44671;44672;49389;49390;49391;49392;49393;49394;49395;51497;56013;56014;56015;56016;56017;56018;56019;56020;56021;56022;56294;56295;56296;56297;56298;56299;56300;56301;57976;57977;57978;57979;57980;57981;58612;58613;79625;79626;79627;79628;79629;79630;79631;79632;79633;79634	14940;24660;24661;24662;24663;24664;24665;24666;24667;24668;28115;50784;50785;50786;50787;50788;50789;50790;50791;50792;50793;50794;50795;56097;56098;56099;56100;56101;56102;56103;58457;63390;63391;63392;63393;63394;63395;63396;63397;63398;63399;63685;63686;63687;63688;63689;63690;63691;63692;65556;65557;65558;65559;65560;65561;66317;66318;90747;90748;90749;90750;90751;90752;90753;90754;90755;90756	14940;24666;28115;50790;56099;58457;63395;63685;65557;66317;90756		
YDL229W	YDL229W	34	2	2	>YDL229W SSB1 SGDID:S000002388, Chr IV from 44065-45906, Genome Release 64-1-1, Verified ORF, Cytoplasmic ATPase that is a ribosome-associated molecular chaperone, functions with J-protein partner Zuo1p; may be involved in folding of newly-made polypeptid	1	34	2	2	28	24	30	29	30	27	25	27	27	28	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	63.3	5.5	5.5	66.601	613	613	5.1	5	5	5	5	5	2	2	4	4	4	5	5	5	5	5	2	2	4	4	4	0	56.1	48.9	60.4	59.2	59.2	53.7	50.9	56	53.3	53.3	6237400000	690600000	588380000	661910000	914910000	760170000	520090000	574830000	520700000	497440000	508370000	613620000	579040000	526270000	789510000	496270000	827220000	891260000	634250000	713680000	553050000	10	7	7	9	8	5	4	6	7	5				340	11;747;940;1141;2458;2832;2882;4589;4590;4849;5530;5922;6349;6862;7301;7719;7807;8335;8466;8467;8943;9073;9650;9706;10019;10154;10246;10271;10656;10663;10693;10936;11729;12263	False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True	11;764;959;1161;2495;2869;2922;4643;4644;4903;5593;5988;6422;6942;7387;7820;7922;7923;8460;8593;8594;9075;9206;9790;9848;10166;10301;10393;10418;10809;10810;10817;10847;11097;11906;12451	114;115;116;117;118;5074;5075;5076;5077;5078;5079;5080;6436;6437;6438;6439;6440;6441;6442;6443;6444;6445;6446;6447;6448;6449;6450;6451;6452;6453;6454;6455;6456;7557;7558;7559;7560;7561;7562;7563;7564;7565;7566;7567;7568;7569;7570;7571;7572;7573;7574;7575;14765;14766;14767;14768;14769;14770;14771;14772;14773;14774;14775;14776;14777;14778;14779;14780;14781;14782;14783;14784;14785;14786;14787;14788;14789;17214;17522;17523;17524;17525;17526;17527;17528;17529;17530;17531;27737;27738;27739;27740;27741;27742;27743;27744;27745;27746;27747;27748;27749;27750;27751;27752;27753;27754;27755;27756;27757;27758;27759;27760;27761;27762;27763;27764;27765;27766;27767;27768;27769;27770;27771;27772;27773;27774;27775;27776;27777;29843;29844;29845;29846;29847;29848;29849;29850;29851;29852;29853;29854;29855;29856;29857;29858;29859;29860;29861;29862;29863;29864;29865;29866;29867;29868;29869;29870;29871;34300;34301;34302;34303;34304;34305;36490;36491;36492;36493;36494;36495;36496;36497;36498;36499;36500;36501;38978;38979;38980;38981;38982;38983;38984;38985;38986;38987;38988;38989;38990;38991;38992;38993;38994;38995;38996;38997;42434;42435;42436;42437;42438;42439;42440;42441;42442;42443;42444;42445;42446;42447;42448;42449;42450;42451;42452;42453;42454;42455;42456;42457;42458;42459;42460;42461;42462;42463;42464;42465;42466;42467;42468;42469;42470;45229;45230;45231;45232;47755;48282;48283;48284;48285;48286;48287;48288;48289;51268;51269;51270;51271;51272;51273;51274;51275;51276;51968;51969;51970;51971;51972;51973;51974;51975;51976;51977;51978;51979;51980;51981;54495;54496;54497;54498;54499;54500;54501;54502;54503;54504;54505;54506;54507;54508;54509;54510;54511;54512;55270;55271;55272;55273;55274;55275;55276;55277;55278;55279;55280;58405;58406;58407;58408;58409;58410;58411;58412;58413;58414;58415;58416;58417;58418;58419;58420;58421;58422;58423;58424;58775;58776;58777;58778;58779;58780;58781;58782;58783;58784;58785;58786;58787;58788;58789;58790;58791;58792;58793;58794;60594;60595;60596;60597;60598;60599;60600;60601;60602;60603;61543;61544;61545;61546;61547;61548;61549;61550;61551;61552;61553;61554;61555;61556;61557;61558;61559;61560;61561;62056;62057;62058;62221;62222;62223;62224;62225;62226;62227;62228;62229;62230;62231;62232;62233;62234;62235;62236;62237;62238;62239;62240;62241;62242;62243;62244;64718;64719;64720;64721;64722;64723;64724;64725;64726;64727;64728;64729;64730;64731;64732;64733;64734;64735;64736;64737;64738;64739;64740;64741;64742;64743;64744;64745;64746;64747;64748;64803;64804;64805;64806;64807;64808;64809;64810;64811;64812;64813;64814;64815;64816;64817;65000;65001;65002;65003;65004;65005;65006;65007;65008;65009;65010;66657;66658;66659;66660;66661;72036;72037;72038;72039;72040;72041;72042;72043;72044;72045;72046;72047;72048;72049;72050;72051;72052;72053;72054;72055;75537;75538;75539;75540;75541;75542;75543;75544;75545;75546;75547;75548;75549;75550;75551;75552;75553;75554;75555;75556;75557;75558;75559;75560;75561;75562	127;128;129;130;131;5791;5792;5793;5794;5795;5796;5797;7414;7415;7416;7417;7418;7419;7420;7421;7422;7423;7424;7425;7426;7427;7428;7429;7430;7431;7432;7433;7434;7435;7436;7437;7438;7439;7440;7441;7442;7443;7444;7445;7446;7447;7448;7449;7450;7451;7452;7453;7454;7455;8668;8669;8670;8671;8672;8673;8674;8675;8676;8677;8678;8679;8680;8681;8682;8683;8684;8685;8686;8687;8688;8689;8690;8691;16652;16653;16654;16655;16656;16657;16658;16659;16660;16661;16662;16663;16664;16665;16666;16667;16668;16669;16670;16671;16672;16673;16674;16675;16676;16677;16678;16679;16680;16681;16682;16683;16684;16685;16686;16687;16688;19455;19776;19777;19778;19779;19780;19781;19782;19783;19784;19785;31361;31362;31363;31364;31365;31366;31367;31368;31369;31370;31371;31372;31373;31374;31375;31376;31377;31378;31379;31380;31381;31382;31383;31384;31385;31386;31387;31388;31389;31390;31391;31392;31393;31394;31395;31396;31397;31398;31399;31400;31401;31402;31403;34013;34014;34015;34016;34017;34018;34019;34020;34021;34022;34023;34024;34025;34026;34027;34028;34029;34030;34031;34032;34033;34034;34035;34036;34037;34038;34039;34040;34041;34042;34043;34044;34045;34046;34047;34048;34049;34050;34051;34052;34053;34054;34055;34056;34057;34058;34059;34060;34061;34062;34063;34064;39200;39201;39202;39203;39204;39205;41567;41568;41569;41570;41571;41572;41573;41574;41575;41576;41577;41578;44236;44237;44238;44239;44240;44241;44242;44243;44244;44245;44246;44247;44248;44249;44250;44251;44252;44253;44254;44255;44256;44257;44258;44259;44260;44261;44262;44263;44264;44265;44266;44267;48267;48268;48269;48270;48271;48272;48273;48274;48275;48276;48277;48278;48279;48280;48281;48282;48283;48284;48285;48286;48287;48288;48289;48290;48291;48292;48293;48294;48295;48296;48297;48298;48299;48300;48301;48302;48303;48304;48305;48306;48307;48308;48309;48310;48311;48312;48313;48314;48315;48316;51411;51412;51413;51414;54296;54861;54862;54863;54864;54865;54866;54867;54868;54869;58178;58179;58180;58181;58182;58183;58184;58185;58186;58943;58944;58945;58946;58947;58948;58949;58950;58951;58952;58953;58954;58955;58956;61729;61730;61731;61732;61733;61734;61735;61736;61737;61738;61739;61740;61741;61742;61743;61744;61745;61746;62588;62589;62590;62591;62592;62593;62594;62595;62596;62597;62598;62599;66048;66049;66050;66051;66052;66053;66054;66055;66056;66057;66058;66059;66060;66061;66062;66063;66064;66065;66066;66067;66068;66069;66070;66071;66072;66073;66074;66075;66076;66077;66078;66079;66080;66081;66082;66083;66084;66085;66086;66087;66088;66089;66090;66091;66092;66093;66094;66095;66096;66097;66098;66099;66100;66101;66102;66103;66104;66105;66106;66107;66108;66109;66110;66111;66528;66529;66530;66531;66532;66533;66534;66535;66536;66537;66538;66539;66540;66541;66542;66543;66544;66545;66546;66547;68474;68475;68476;68477;68478;68479;68480;68481;68482;68483;69672;69673;69674;69675;69676;69677;69678;69679;69680;69681;69682;69683;69684;69685;69686;69687;69688;69689;69690;69691;69692;69693;69694;69695;69696;69697;69698;69699;69700;69701;69702;69703;69704;69705;69706;69707;70235;70236;70237;70408;70409;70410;70411;70412;70413;70414;70415;70416;70417;70418;70419;70420;70421;70422;70423;70424;70425;70426;70427;70428;70429;70430;70431;70432;70433;70434;70435;70436;70437;70438;70439;70440;70441;73462;73463;73464;73465;73466;73467;73468;73469;73470;73471;73472;73473;73474;73475;73476;73477;73478;73479;73480;73481;73482;73483;73484;73485;73486;73487;73488;73489;73490;73491;73492;73493;73494;73495;73496;73497;73498;73499;73500;73501;73502;73503;73504;73505;73506;73507;73508;73509;73510;73511;73512;73513;73514;73515;73516;73517;73518;73519;73520;73521;73607;73608;73609;73610;73611;73612;73613;73614;73615;73616;73617;73618;73619;73620;73621;73622;73623;73624;73625;73626;73627;73628;73629;73630;73631;73632;73633;73634;73635;73636;73637;73638;73851;73852;73853;73854;73855;73856;73857;73858;73859;73860;73861;73862;73863;75880;75881;75882;75883;75884;81989;81990;81991;81992;81993;81994;81995;81996;81997;81998;81999;82000;82001;82002;82003;82004;82005;82006;82007;82008;82009;82010;82011;82012;82013;82014;82015;86085;86086;86087;86088;86089;86090;86091;86092;86093;86094;86095;86096;86097;86098;86099;86100;86101;86102;86103;86104;86105;86106;86107;86108;86109;86110;86111;86112;86113;86114;86115;86116;86117;86118;86119;86120;86121	127;5795;7426;8679;16683;19455;19779;31365;31391;34049;39201;41569;44258;48307;51411;54296;54865;58182;58949;58956;61731;62589;66063;66545;68475;69677;70236;70418;73490;73621;73852;75884;81997;86119	36;37	124;522
YDL235C	YDL235C	3	3	3	>YDL235C YPD1 SGDID:S000002394, Chr IV from 33918-33415, Genome Release 64-1-1, reverse complement, Verified ORF, Phosphorelay intermediate protein, phosphorylated by the plasma membrane sensor Sln1p in response to osmotic stress and then in turn phosphor	1	3	3	3	2	2	1	1	2	1	0	2	1	0	2	2	1	1	2	1	0	2	1	0	2	2	1	1	2	1	0	2	1	0	23.4	23.4	23.4	19.168	167	167	4.5	2	2	1	1	2	1		2	1		2	2	1	1	2	1		2	1		5.5076E-36	15.6	13.8	7.8	7.8	17.4	6	0	13.8	7.8	0	126310000	10964000	19188000	11543000	14435000	33786000	7280100	0	19739000	9372300	0	0	18047000	0	0	0	0	0	25338000	0	0	1	2	1	1	2	1	0	2	1	0				341	3969;8246;9634	True;True;True	4013;8370;9774	23857;23858;23859;23860;50668;50669;50670;50671;50672;50673;58308;58309	26990;26991;26992;26993;57458;57459;57460;57461;57462;57463;65910;65911	26991;57459;65911		
YDL236W	YDL236W	11	11	11	>YDL236W PHO13 SGDID:S000002395, Chr IV from 32296-33234, Genome Release 64-1-1, Verified ORF, Alkaline phosphatase specific for p-nitrophenyl phosphate; also has protein phosphatase activity	1	11	11	11	4	8	3	6	4	2	6	5	4	4	4	8	3	6	4	2	6	5	4	4	4	8	3	6	4	2	6	5	4	4	39.7	39.7	39.7	34.624	312	312	5.28	4	8	3	6	4	2	6	5	4	4	4	8	3	6	4	2	6	5	4	4	2.3192E-54	13.8	27.2	10.3	21.2	15.4	6.1	22.4	17	15.4	13.8	405020000	32324000	62627000	17948000	77975000	61291000	11940000	38552000	45508000	12338000	44516000	38712000	49713000	37939000	55519000	41100000	29301000	41317000	48707000	42827000	35801000	4	8	3	6	4	2	6	5	4	4				342	1703;1796;2805;5241;6168;6266;6433;6909;9957;10506;12394	True;True;True;True;True;True;True;True;True;True;True	1728;1821;2842;5299;6238;6337;6507;6989;10103;10658;12585	10761;10762;11236;11237;11238;11239;11240;11241;17089;17090;17091;17092;17093;17094;17095;32299;38032;38033;38034;38609;38610;38611;38612;39647;39648;39649;39650;39651;42752;42753;42754;42755;42756;42757;60224;60225;60226;60227;60228;60229;60230;63686;63687;63688;76676;76677	12153;12154;12652;12653;12654;12655;12656;12657;19311;19312;19313;19314;19315;19316;19317;36848;43235;43236;43237;43861;43862;43863;43864;45111;45112;45113;45114;45115;48608;48609;48610;48611;48612;48613;68074;68075;68076;68077;68078;68079;68080;72141;72142;72143;87460;87461	12154;12653;19316;36848;43237;43861;45111;48613;68079;72142;87460		
YDR001C;YBR001C	YDR001C	10;2	10;2	10;2	>YDR001C NTH1 SGDID:S000002408, Chr IV from 452475-450220, Genome Release 64-1-1, reverse complement, Verified ORF, Neutral trehalase, degrades trehalose; required for thermotolerance and may mediate resistance to other cellular stresses; may be phosphory	2	10	10	10	2	4	2	2	3	3	2	4	3	1	2	4	2	2	3	3	2	4	3	1	2	4	2	2	3	3	2	4	3	1	14.9	14.9	14.9	85.878	751	751;780	5.38	2	4	2	2	3	3	2	4	3	1	2	4	2	2	3	3	2	4	3	1	1.172E-73	3.2	7.2	3.1	5.1	4.5	5.1	2.9	7.3	4.8	1.7	48879000	3087700	11133000	3564700	2996200	6215900	4900900	4222600	7111900	5030200	616560	0	6195300	6016700	5691200	6869400	0	0	5701600	0	0	2	4	2	2	3	3	2	4	3	1				343	4355;6355;6633;9165;10060;10350;11505;11527;11689;12636	True;True;True;True;True;True;True;True;True;True	4405;6428;6709;9298;10207;10499;11678;11700;11866;12832	26334;26335;26336;39021;39022;41019;41020;41021;55746;55747;60850;60851;60852;60853;60854;60855;60856;62725;62726;62727;70506;70607;71760;71761;71762;78145	29876;29877;29878;44291;44292;46631;46632;46633;63105;63106;68743;68744;68745;68746;68747;68748;68749;70997;70998;70999;80242;80348;81672;81673;81674;89094	29877;44292;46631;63105;68748;70998;80242;80348;81672;89094		
YDR002W	YDR002W	4	4	4	>YDR002W YRB1 SGDID:S000002409, Chr IV from 453045-453650, Genome Release 64-1-1, Verified ORF, Ran GTPase binding protein; involved in nuclear protein import and RNA export, ubiquitin-mediated protein degradation during the cell cycle; shuttles between t	1	4	4	4	1	2	2	1	2	1	2	1	1	2	1	2	2	1	2	1	2	1	1	2	1	2	2	1	2	1	2	1	1	2	33.8	33.8	33.8	22.953	201	201	5.47	1	2	2	1	2	1	2	1	1	2	1	2	2	1	2	1	2	1	1	2	7.2482E-31	10.4	20.9	13.9	10.4	20.9	10.4	19.9	10.4	10.4	19.9	267600000	13452000	50033000	38867000	17751000	62300000	8984600	22449000	10330000	9754700	33676000	0	0	0	0	0	0	0	0	0	38024000	1	2	2	1	2	1	2	1	1	2				344	1983;2099;3062;4503	True;True;True;True	2012;2013;2130;3102;4557	12227;12228;12821;12822;18473;27219;27220;27221;27222;27223;27224;27225;27226;27227;27228	13826;13827;14518;14519;20868;30824;30825;30826;30827;30828;30829;30830;30831;30832;30833	13826;14519;20868;30825	38	28
YDR012W	YDR012W	15	2	2	>YDR012W RPL4B SGDID:S000002419, Chr IV from 471853-472941, Genome Release 64-1-1, Verified ORF, Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl4Ap and has similarity to E. coli L4 and rat L4 ribosomal proteins	1	15	2	2	13	13	14	14	12	12	14	14	14	13	2	2	2	2	1	1	2	2	2	2	2	2	2	2	1	1	2	2	2	2	50.3	4.4	4.4	39.062	362	362	5.68	3	2	2	3	2	1	4	2	3	3	3	2	2	3	2	1	4	2	3	3	2.2949E-258	47	45	48.1	48.1	44.5	40.3	48.1	48.1	47.2	45	769930000	53584000	62449000	58281000	53057000	208930000	21201000	109960000	34760000	103570000	64137000	79994000	93441000	81789000	77564000	102770000	0	82928000	66597000	83683000	110430000	4	2	2	4	2	3	4	3	4	3				345	266;927;3357;3871;4851;5125;6258;8502;8624;9089;9543;10720;10721;11552;11700	False;False;False;False;False;False;False;False;False;False;False;True;True;False;False	269;946;3397;3915;4905;5183;6329;8630;8754;9222;9681;9682;10875;10876;11726;11877	1819;1820;1821;1822;1823;1824;1825;1826;1827;1828;1829;1830;1831;6299;6300;6301;6302;6303;6304;6305;6306;6307;6308;6309;6310;6311;20143;20144;20145;20146;20147;20148;20149;20150;23196;23197;23198;23199;23200;23201;23202;23203;23204;23205;23206;23207;23208;23209;23210;29877;29878;29879;29880;29881;29882;29883;29884;29885;29886;29887;29888;29889;29890;29891;29892;29893;29894;29895;29896;29897;29898;29899;31510;31511;31512;31513;31514;31515;31516;31517;31518;31519;31520;31521;31522;31523;31524;31525;31526;31527;31528;31529;31530;31531;31532;31533;31534;31535;31536;31537;31538;31539;31540;31541;31542;31543;31544;31545;31546;31547;31548;31549;31550;31551;31552;38531;38532;38533;38534;38535;38536;38537;38538;38539;38540;38541;38542;38543;38544;38545;38546;38547;38548;38549;38550;38551;38552;38553;38554;38555;38556;38557;38558;38559;38560;38561;38562;38563;38564;38565;38566;38567;38568;52183;52184;52185;52186;52187;52188;52189;52190;52191;52192;52193;52916;52917;55346;55347;55348;55349;55350;55351;55352;55353;55354;55355;55356;55357;55358;55359;55360;55361;57757;57758;57759;57760;57761;57762;57763;57764;65200;65201;65202;65203;65204;65205;65206;65207;65208;65209;65210;65211;65212;65213;65214;65215;65216;65217;65218;65219;65220;65221;65222;65223;65224;70749;70750;70751;70752;70753;70754;70755;70756;70757;70758;71835;71836;71837;71838;71839;71840;71841;71842;71843;71844;71845;71846;71847;71848;71849;71850;71851;71852;71853;71854	2107;2108;2109;2110;2111;2112;2113;2114;2115;2116;2117;2118;2119;2120;7238;7239;7240;7241;7242;7243;7244;7245;7246;7247;7248;7249;7250;7251;7252;7253;7254;22759;22760;22761;22762;22763;22764;22765;22766;26259;26260;26261;26262;26263;26264;26265;26266;26267;26268;26269;26270;26271;26272;26273;26274;34070;34071;34072;34073;34074;34075;34076;34077;34078;34079;34080;34081;34082;34083;34084;34085;34086;34087;34088;34089;34090;34091;34092;34093;34094;34095;34096;34097;34098;34099;34100;34101;34102;34103;34104;34105;35952;35953;35954;35955;35956;35957;35958;35959;35960;35961;35962;35963;35964;35965;35966;35967;35968;35969;35970;35971;35972;35973;35974;35975;35976;35977;35978;35979;35980;35981;35982;35983;35984;35985;35986;35987;35988;35989;35990;35991;35992;35993;35994;35995;35996;35997;35998;35999;36000;36001;36002;36003;36004;36005;36006;36007;36008;36009;36010;36011;36012;36013;36014;36015;36016;36017;36018;36019;36020;36021;43759;43760;43761;43762;43763;43764;43765;43766;43767;43768;43769;43770;43771;43772;43773;43774;43775;43776;43777;43778;43779;43780;43781;43782;43783;43784;43785;43786;43787;43788;43789;43790;43791;43792;43793;43794;43795;43796;43797;43798;43799;43800;43801;43802;43803;43804;43805;43806;43807;43808;43809;43810;43811;43812;43813;43814;43815;43816;43817;43818;43819;43820;59167;59168;59169;59170;59171;59172;59173;59174;59175;59176;59177;59178;60070;60071;62670;62671;62672;62673;62674;62675;62676;62677;62678;62679;62680;62681;62682;62683;62684;62685;65312;65313;65314;65315;65316;65317;65318;65319;65320;74101;74102;74103;74104;74105;74106;74107;74108;74109;74110;74111;74112;74113;74114;74115;74116;74117;74118;74119;74120;74121;74122;74123;74124;74125;74126;74127;74128;74129;74130;74131;80536;80537;80538;80539;80540;80541;80542;80543;80544;80545;80546;80547;80548;80549;80550;80551;81757;81758;81759;81760;81761;81762;81763;81764;81765;81766;81767;81768;81769;81770;81771;81772;81773;81774;81775;81776;81777;81778;81779;81780;81781;81782;81783;81784;81785;81786;81787;81788;81789;81790	2111;7245;22762;26264;34103;35960;43791;59171;60071;62679;65318;74103;74126;80544;81782		
